setting,n,candidate,score,success,diverged,cm_samples,diff_samples,seconds_per_run,peak_mem_mb,comparator,diff_vs_comparator,diff_vs_comparator_p,diff_vs_baseline,diff_vs_baseline_p
2D,8,baseline,0.4068568956101527,0.325,0,792,792,0.5108217526751104,778.8984375,,,,,
2D,8,trust_noise1,0.19642494636351934,0.75,0,792,792,0.5175858659989899,777.62109375,baseline,0.2104319492466333,0.0002999850007499625,0.2104319492466333,0.0002999850007499625
2D,8,backsel_uni_k2,0.6082583724041398,0.275,2,990,198,0.7056858967742301,795.0625,baseline,-0.20140147679398712,0.0551972401379931,-0.20140147679398712,0.0551972401379931
2D,8,backsel_uni_k4,0.5694653586881127,0.375,0,1188,396,0.6596895600494463,795.80859375,baseline,-0.16260846307796004,0.07354632268386581,-0.16260846307796004,0.07354632268386581
2D,8,backsel_is_k2,0.5555881195050324,0.3,0,975.225,183.225,0.6781751776230521,791.234375,baseline,-0.14873122389487975,0.033948302584870756,-0.14873122389487975,0.033948302584870756
2D,8,backsel_is_k4,0.45874707517760605,0.35,0,1107.375,315.375,0.6840084232011577,790.40625,baseline,-0.05189017956745339,0.45932703364831756,-0.05189017956745339,0.45932703364831756
2D,8,backsel_clust_k2,0.32710129269324895,0.6,1,990,198,0.6643459375016392,790.9375,baseline,0.0797556029169037,0.2367381630918454,0.0797556029169037,0.2367381630918454
2D,8,backsel_clust_k4,0.3015167586796388,0.55,0,1188,396,0.6810477095248644,791.36328125,baseline,0.10534013693051386,0.07094645267736613,0.10534013693051386,0.07094645267736613
2D,8,backsel_uni_k2_trust,0.14278686924689138,0.85,0,990,198,0.6633733212976949,791.3125,trust_noise1,0.053638077116627964,0.09794510274486276,0.26407002636326127,4.999750012499375e-05
2D,8,backsel_uni_k4_trust,0.1804630139773959,0.75,0,1188,396,0.675637295524939,791.55859375,trust_noise1,0.015961932386123458,0.6306184690765462,0.22639388163275675,4.999750012499375e-05
2D,8,backsel_is_k2_trust,0.2206971919885107,0.725,0,975.3,183.3,0.6771741467237007,790.21875,trust_noise1,-0.024272245624991324,0.4951752412379381,0.18615970362164197,0.00034998250087495624
2D,8,backsel_is_k4_trust,0.17116775996443875,0.725,0,1107.775,315.775,0.6858911693765549,791.84375,trust_noise1,0.025257186399080596,0.3671816409179541,0.2356891356457139,0.00024998750062496874
2D,8,backsel_clust_k2_trust,0.14806378561074482,0.875,0,990,198,0.6675660943263211,791.05078125,trust_noise1,0.04836116075277454,0.23413829308534573,0.2587931099994078,4.999750012499375e-05
2D,8,backsel_clust_k4_trust,0.22107430876635492,0.65,0,1188,396,0.680732655574684,791.23828125,trust_noise1,-0.024649362402835554,0.4896255187240638,0.18578258684379775,0.0007999600019999
2D,8,replay_cohort16_trust,0.2303258814735855,0.75,0,792,792,0.49784343972278294,774.0,trust_noise1,-0.03390093511006612,0.2928853557322134,0.17653101413656716,0.0005499725013749313
2D,8,backsel_is_k4_cohort16_trust,0.20153609463447758,0.675,0,1109.65,317.65,0.6754822962975595,792.0859375,replay_cohort16_trust,0.028789786839107934,0.33088345582720863,0.2053208009756751,0.00014999250037498125
2D,8,backsel_clust_k4_cohort16_trust,0.17829711264207085,0.825,0,1188,396,0.7548997230740497,793.43359375,replay_cohort16_trust,0.05202876883151464,0.03719814009299535,0.2285597829680818,4.999750012499375e-05
2D,32,baseline,0.249926707743037,0.5,0,3168,3168,0.5954347087001224,774.56640625,,,,,
2D,32,trust_noise1,0.2330371567076804,0.5,0,3168,3168,0.6035253690999525,776.6171875,baseline,0.01688955103535655,0.05639718014099295,0.01688955103535655,0.05639718014099295
2D,32,backsel_uni_k2,0.3821375392273251,0.525,1,3366,198,0.7343047765250958,827.19921875,baseline,-0.13221083148428814,0.052747362631868404,-0.13221083148428814,0.052747362631868404
2D,32,backsel_uni_k4,0.3243346300935186,0.525,0,3564,396,0.7460772334499779,826.53125,baseline,-0.0744079223504816,0.10944452777361131,-0.0744079223504816,0.10944452777361131
2D,32,backsel_is_k2,0.37645679328045284,0.45,0,3362.225,194.225,0.7501516387001175,828.5,baseline,-0.12653008553741585,0.03454827258637068,-0.12653008553741585,0.03454827258637068
2D,32,backsel_is_k4,0.3416028842266408,0.425,0,3542.725,374.725,0.7634030157001689,825.6328125,baseline,-0.09167617648360384,0.023948802559872008,-0.09167617648360384,0.023948802559872008
2D,32,backsel_clust_k2,0.23703858004235961,0.725,0,3366,198,0.7553421855001943,826.05078125,baseline,0.01288812770067738,0.8018599070046498,0.01288812770067738,0.8018599070046498
2D,32,backsel_clust_k4,0.39957755351352303,0.4,0,3564,396,0.7668591984751402,828.046875,baseline,-0.14965084577048607,0.00024998750062496874,-0.14965084577048607,0.00024998750062496874
2D,32,backsel_uni_k2_trust,0.12043269202805025,0.925,0,3366,198,0.7403139885747805,827.09765625,trust_noise1,0.11260446467963017,4.999750012499375e-05,0.12949401571498673,4.999750012499375e-05
2D,32,backsel_uni_k4_trust,0.13583878190295529,0.85,0,3564,396,0.7585208594249707,826.36328125,trust_noise1,0.09719837480472512,9.99950002499875e-05,0.11408792584008168,4.999750012499375e-05
2D,32,backsel_is_k2_trust,0.17240872738317867,0.85,0,3362.65,194.65,0.7536019351751747,828.1875,trust_noise1,0.06062842932450175,0.022598870056497175,0.0775179803598583,0.007149642517874106
2D,32,backsel_is_k4_trust,0.15642751484948342,0.875,0,3542.45,374.45,0.7685563278748304,825.31640625,trust_noise1,0.07660964185819698,4.999750012499375e-05,0.09349919289355353,4.999750012499375e-05
2D,32,backsel_clust_k2_trust,0.11207950720771627,0.9,0,3366,198,0.7494942775247182,828.8671875,trust_noise1,0.12095764949996415,0.000199990000499975,0.1378472005353207,9.99950002499875e-05
2D,32,backsel_clust_k4_trust,0.2617824019833115,0.5,0,3564,396,0.7737440771750699,825.39453125,trust_noise1,-0.02874524527563109,0.06459677016149193,-0.01185569424027454,0.4964751762411879
2D,32,replay_cohort64_trust,0.227669412273464,0.725,0,3168,3168,0.6180971911500819,775.45703125,trust_noise1,0.005367744434216417,0.7504624768761562,0.022257295469572967,0.11674416279186041
2D,32,backsel_is_k4_cohort64_trust,0.179477077461896,0.75,0,3542.2,374.2,0.8037755750752694,828.51953125,replay_cohort64_trust,0.048192334811568,0.005349732513374331,0.07044963028114097,4.999750012499375e-05
2D,32,backsel_clust_k4_cohort64_trust,0.2994460950485006,0.4,0,3564,396,0.7757986053249624,833.375,replay_cohort64_trust,-0.07177668277503665,0.000599970001499925,-0.04951938730546369,0.032298385080745964
5D,8,baseline,0.5170406508133392,0.0,0,792,792,0.4813796907001233,772.0390625,,,,,
5D,8,trust_noise1,0.47166342047694865,0.0,0,792,792,0.4797350332250062,771.5859375,baseline,0.04537723033639053,0.16679166041697915,0.04537723033639053,0.16679166041697915
5D,8,backsel_uni_k2,0.7243618913885267,0.0,3,990,198,0.6490254980999453,788.2109375,baseline,-0.20732124057518747,0.007099645017749113,-0.20732124057518747,0.007099645017749113
