setting,n,rule,k,n_diff,cos_x_med,cos_x_p10,rel_norm_med,infl_med,infl_p90,infl_p99
10D_n128,128,uniform,8,8.0,0.9737750810412271,0.07365024922214829,0.3620503673971891,1.1307485861564812,2.7077112237820327,14.234986161222475
10D_n128,128,kcenter,8,8.0,0.984426374290641,0.6831368260007794,0.13876459511026984,1.0285285106398747,1.5885674165687769,4.222189412637819
10D_n128,128,stratified,8,8.0,0.9833953426202205,0.6075433802172363,0.1511663898144242,1.0300364820311985,1.6991914595362672,4.196276695119035
10D_n128,128,soft_uniform_t0.25,8,8.0,0.9861453428468875,0.5294582521399739,0.13808017041440335,0.9935951776293682,1.4305828108781395,3.621686225814967
10D_n128,128,soft_uniform_t1.0,8,8.0,0.9792443974336377,0.1693952140752588,0.16631296888124758,1.0000578983449793,1.6190736638792202,3.7412358750692167
10D_n128,128,soft_uniform_t4.0,8,8.0,0.9687577708807849,-0.1231218776794594,0.19195200907456145,1.0108185361595539,1.829078568356752,3.8559830587581856
10D_n128,128,soft_stratified_t0.25,8,8.0,0.9883890755627316,0.6942430307148115,0.1311152997605134,1.0088319965511272,1.5207884002328735,3.200188432871247
10D_n128,128,soft_stratified_t1.0,8,8.0,0.9805409800163244,0.20498232650739784,0.15003842747769336,1.0084173552021818,1.7433385753148405,3.5419333592256685
10D_n128,128,soft_stratified_t4.0,8,8.0,0.9665459200185726,-0.2878002137651876,0.19106035815109368,1.0245084077900113,2.0245472528144073,4.355264848718631
10D_n128,128,soft_kcenter_t0.25,8,8.0,0.9877806858961257,0.6641048055110628,0.12727312234988553,1.0149254049544825,1.5307587903906374,3.2520392591409992
10D_n128,128,soft_kcenter_t1.0,8,8.0,0.9796732717079313,0.1677392240269756,0.1595809150690728,1.0157197868546024,1.8666967810436645,3.699476289328898
10D_n128,128,soft_kcenter_t4.0,8,8.0,0.9641000458203821,-0.3486686618665659,0.19540444350949404,1.0183479731395952,2.2766382570323045,3.9943957481371415
10D_n128,128,uniform,16,16.0,0.9863843082176229,0.47656186653990534,0.2587960086050394,1.080505289842378,2.0512767672255823,9.767303263345763
10D_n128,128,kcenter,16,16.0,0.9919609447011632,0.8169668535944682,0.09421507921006778,1.019935792229415,1.422536014506251,2.766236052765874
10D_n128,128,stratified,16,16.0,0.9927210139279973,0.794213919484061,0.0971565445541196,1.0201338428710869,1.4001292553168685,3.015433720184159
10D_n128,128,soft_uniform_t0.25,16,16.0,0.9931929514569003,0.7572895034309468,0.10493290678497713,0.9906199244240678,1.2956746521807931,2.777411250186945
10D_n128,128,soft_uniform_t1.0,16,16.0,0.9866618063326228,0.31855583796295983,0.14006726427808558,0.9942052628649807,1.5597887795267953,3.048927689185055
10D_n128,128,soft_uniform_t4.0,16,16.0,0.9776024597178657,0.01060204987149193,0.16041268012907406,0.9988130577703925,1.7375830782052462,2.9650832278283996
10D_n128,128,soft_stratified_t0.25,16,16.0,0.9933681091975805,0.7669092828492559,0.10134742618415815,1.0017162336926932,1.4051733937493158,2.581058156179808
10D_n128,128,soft_stratified_t1.0,16,16.0,0.9866487684406767,0.24509366962178675,0.12826203296024596,1.0067157306179453,1.7707885012077225,3.20425123575034
10D_n128,128,soft_stratified_t4.0,16,16.0,0.9743240302798816,-0.20792519644281143,0.1684689669802304,1.0172148458748909,2.003764999240931,3.6659138492806234
10D_n128,128,soft_kcenter_t0.25,16,16.0,0.993456450652017,0.7677292613836938,0.10219716266420531,1.0030789453989326,1.4223845516470912,2.534871843319252
10D_n128,128,soft_kcenter_t1.0,16,16.0,0.9868681938249468,0.23054331722337343,0.13320929288378336,1.0059105704220845,1.8268596069129506,3.2809566429612484
10D_n128,128,soft_kcenter_t4.0,16,16.0,0.9737616697748351,-0.24821439081029675,0.17018460013929015,1.0170636413079248,2.065904246069022,4.139013604515344
10D_n128,128,uniform,32,32.0,0.9947289534164881,0.7769439481152938,0.17935963042821523,1.0398812023626856,1.6508877862411198,5.7381253481424945
10D_n128,128,kcenter,32,32.0,0.9967234999282231,0.9185647081589557,0.06211633909909353,1.0093015330956159,1.260532008134374,1.9233768419880444
10D_n128,128,stratified,32,32.0,0.9966164117178641,0.9165849380855732,0.0648475691162399,1.005607195217415,1.2220132857834003,1.8804044220266205
10D_n128,128,soft_uniform_t0.25,32,32.0,0.9963024558552589,0.8514503464050953,0.07781660867559348,0.9880580306828269,1.2001825250081621,2.200024240525305
10D_n128,128,soft_uniform_t1.0,32,32.0,0.9910501045705112,0.5046845725748226,0.10903911470722649,0.9933264214618561,1.438034128120583,2.45794881058309
10D_n128,128,soft_uniform_t4.0,32,32.0,0.9840058353800424,0.2945002486636257,0.13465683490186264,0.9969951126636702,1.5737315482841685,2.436651745482906
10D_n128,128,soft_stratified_t0.25,32,32.0,0.9961919442029298,0.8454610619111412,0.0781357117618583,1.0016619368011555,1.3135069693817363,2.0896031261672845
10D_n128,128,soft_stratified_t1.0,32,32.0,0.9906022874385576,0.34247703460695705,0.10841249992762814,1.004413206793554,1.7929004606952388,3.068852723686057
10D_n128,128,soft_stratified_t4.0,32,32.0,0.9820312385697908,-0.04358072679554549,0.1326676386957124,1.013518310831629,1.9818054685222761,3.3723657782447773
10D_n128,128,soft_kcenter_t0.25,32,32.0,0.9966188989872605,0.8433949138323107,0.07227010730719563,0.9998704386757186,1.3111769042305035,1.985513688128723
10D_n128,128,soft_kcenter_t1.0,32,32.0,0.9905078857265317,0.413652123092545,0.0979322874296229,1.0020530319339702,1.7515214041511478,3.068135971882051
10D_n128,128,soft_kcenter_t4.0,32,32.0,0.9816244104068286,0.05132415875657271,0.12812172382859588,1.013309772075492,1.9234353760640226,3.3422265799904562
10D_n32,32,uniform,8,8.0,0.9815098243989255,0.24072282045733928,0.3351100143063659,1.1381626794671327,2.3570936518567653,5.958789128586662
10D_n32,32,kcenter,8,8.0,0.9917289087702609,0.7803286879021278,0.1272818032327947,1.0287707893727773,1.5509204986221758,2.57197520994528
10D_n32,32,stratified,8,8.0,0.9899509461086816,0.7693456882840558,0.1280594202473917,1.0200925140418855,1.5231786031393297,2.7694142694469908
10D_n32,32,soft_uniform_t0.25,8,8.0,0.9914369052487005,0.6672917396277168,0.11165818295823882,0.9986176636104925,1.369347502054048,2.4399993186526228
10D_n32,32,soft_uniform_t1.0,8,8.0,0.9876597228306635,0.37310237346874436,0.13128846376535075,0.9921181810085952,1.452701792203453,2.721913903790509
10D_n32,32,soft_uniform_t4.0,8,8.0,0.9837858877020961,0.061065096801107555,0.15570209130564194,0.997794357884653,1.492718198517826,3.0819368404606795
10D_n32,32,soft_stratified_t0.25,8,8.0,0.992987271441118,0.7444878557192626,0.10972281565707287,1.0009579704425586,1.3511031216398977,2.5592278803443516
10D_n32,32,soft_stratified_t1.0,8,8.0,0.9904988335759549,0.18264127095545082,0.13145827203202065,1.0051913325975008,1.5742124483863795,3.651514330447394
10D_n32,32,soft_stratified_t4.0,8,8.0,0.9868327651668614,-0.27560814439592485,0.15175722272727343,1.013822459654926,1.7509699237643672,4.84460109359154
10D_n32,32,soft_kcenter_t0.25,8,8.0,0.9926004725892493,0.731201572968853,0.1151259721127047,1.0110413814039965,1.3619816677490582,2.6351694521959836
10D_n32,32,soft_kcenter_t1.0,8,8.0,0.9912281758247854,0.07988204926212006,0.14429978542529986,1.0134976789972212,1.5494907012459682,3.992776346306734
10D_n32,32,soft_kcenter_t4.0,8,8.0,0.9872914599805537,-0.3104411845521043,0.1611639519526482,1.0233076895530764,1.7352076578094273,5.162156987986102
10D_n32,32,uniform,16,16.0,0.9941804454075748,0.7359374716783441,0.19800950213732094,1.042296087120127,1.6194084214445168,3.2977091924829716
10D_n32,32,kcenter,16,16.0,0.9968041915989635,0.9261918342735092,0.0673910090683697,1.0064973015479601,1.2937862089226382,1.9543369540566027
10D_n32,32,stratified,16,16.0,0.9969305125206455,0.9112114188370076,0.06844647069958976,1.0129195459335725,1.2859498440877106,1.9492016452240022
10D_n32,32,soft_uniform_t0.25,16,16.0,0.9965849407044319,0.895226245170884,0.07057157845695317,0.9943814557775583,1.1850099152503453,1.7077764883398485
10D_n32,32,soft_uniform_t1.0,16,16.0,0.9947988811613878,0.7034502591812295,0.09031019783759331,0.990936486978577,1.2106895378391747,1.779227495790389
10D_n32,32,soft_uniform_t4.0,16,16.0,0.9925778639441478,0.5714342214948509,0.10158818270181658,0.9914267300910996,1.2384777465583432,1.986442274852634
10D_n32,32,soft_stratified_t0.25,16,16.0,0.9974296173764569,0.9098478532750913,0.06237302371465825,0.9951906571578333,1.205383955128495,1.739682701926216
10D_n32,32,soft_stratified_t1.0,16,16.0,0.9963159804718942,0.6471022288777489,0.08285083744242672,0.9927200426783499,1.3006352414836557,2.485175625284105
10D_n32,32,soft_stratified_t4.0,16,16.0,0.994731803251796,0.4870449753877907,0.09909690414362204,0.995864927843467,1.3592827007148984,3.040551289980842
10D_n32,32,soft_kcenter_t0.25,16,16.0,0.9975226273140836,0.9054815642247992,0.06458707396165853,0.9932568527208081,1.2005393185356967,1.715365361028771
10D_n32,32,soft_kcenter_t1.0,16,16.0,0.99668335652005,0.6411521700989917,0.08914619826998349,0.9919036961323849,1.2698934545956853,2.5237194405417926
10D_n32,32,soft_kcenter_t4.0,16,16.0,0.9957215375966818,0.47132746867422004,0.0967253303273865,0.992738089642948,1.327360374776014,3.013558053493747
