setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
10D,early,uniform,8,8.0,0.9728675901283218,0.27987468633240037,0.8574999999999999,1.0,1.0,0.32673298865556716,0.2988719101093011,0.42772620916366577,0.663351246342063,False
10D,early,uniform,16,16.0,0.9872150098284509,0.6838376509120636,0.9037499999999999,1.0,1.0,0.18162318766117097,0.17167597452134942,0.3015384376049042,0.45753259118646383,False
10D,early,uniform,32,32.0,0.9942274803041562,0.8733721842966389,0.9112500000000001,1.0,1.0,0.08088533729314804,0.09333288306879695,0.2111998349428177,0.3104270016774535,True
10D,early,uniform,64,64.0,0.9982904153100067,0.9702417807067706,0.9625,1.0,1.0,0.03985769897699356,0.03620927651591046,0.12110878527164459,0.19030206017196177,True
10D,early,importance,8,7.722499999999999,0.9796190217964165,0.39219379960771583,0.875,1.0,1.0,0.3266870349645615,0.26397183879016667,0.3731178343296051,0.5291257638484239,False
10D,early,importance,16,14.903749999999999,0.9897789102086965,0.683414604562806,0.88375,1.0,1.0,0.11217292696237564,0.14570886006677028,0.21566429734230042,0.374789934232831,False
10D,early,importance,32,27.71875,0.995107695053008,0.8647345023410274,0.91875,1.0,1.0,0.0500781312584877,0.09259900565466524,0.16655245423316956,0.2657968183979392,True
10D,early,importance,64,48.10125,0.9976424398146,0.939649064540828,0.95625,1.0,1.0,0.04498759061098099,0.050150114152984315,0.12398014217615128,0.20216664616018534,True
10D,early,kcenter,8,8.0,0.9843674622818185,0.7381459649518045,0.8875,1.0,1.0,0.0,0.1262074694957846,0.22570040822029114,0.29452689122408626,False
10D,early,kcenter,16,16.0,0.9928581943986936,0.908353335972031,0.9125,1.0,1.0,0.0,0.06220795015478871,0.1492708921432495,0.20020008478313683,True
10D,early,kcenter,32,32.0,0.9966943074296483,0.9535727030440465,0.95625,1.0,1.0,0.0,0.028466756503962642,0.09871946275234222,0.1393691494129598,True
10D,early,kcenter,64,64.0,0.998824627732999,0.9884831147884745,0.9637499999999999,1.0,1.0,0.0,0.010163705758156994,0.06575749069452286,0.08336067341733724,True
10D,early,kcenter_mean2,8,7.8575,0.983990462612944,0.6274316621527838,0.89,1.0,1.0,0.0,0.17732395424100106,0.2551499009132385,0.3382816270925105,False
10D,early,kcenter_mean2,16,15.43125,0.9924003141554544,0.862675956241247,0.915,1.0,1.0,0.0,0.0841629493967048,0.17832037806510925,0.22721909303218127,True
10D,early,kcenter_mean2,32,30.246249999999996,0.9969789144733252,0.9548127698761237,0.9512499999999999,1.0,1.0,0.0,0.031984817072179796,0.09731616079807281,0.14842909486033024,True
10D,early,kcenter_mean2,64,57.660000000000004,0.9987223744753241,0.9854587646243659,0.9737500000000001,1.0,1.0,0.0,0.00679583867039355,0.07400871813297272,0.09012683753389865,True
10D,mid,uniform,8,8.0,0.9720050879959365,0.41215644320208095,0.85375,1.0,1.0,0.28251494765281676,0.2218439189484343,0.3734752833843231,0.7647899560630321,False
10D,mid,uniform,16,16.0,0.9859468706390518,0.7154463473565053,0.9,1.0,1.0,0.09802742153406144,0.13551031448441792,0.2584517002105713,0.5273632567375899,False
10D,mid,uniform,32,32.0,0.9949466287973334,0.8367004492959095,0.92125,1.0,1.0,0.04893069416284561,0.0980659546014067,0.16579681634902954,0.34789504390209913,True
10D,mid,uniform,64,64.0,0.9975565107399937,0.9278300690441473,0.95375,1.0,1.0,0.0,0.05647549048217115,0.0972667708992958,0.2014649118296802,True
10D,mid,importance,8,7.7387500000000005,0.9715068302925435,0.4733997044904902,0.8525,1.0,1.0,0.20274968147277833,0.19383359595376531,0.27946144342422485,0.6672639403492212,False
10D,mid,importance,16,14.89625,0.9865603731070732,0.632135664653355,0.8800000000000001,1.0,1.0,0.11491557061672211,0.1535009839470149,0.21541567146778107,0.44788756109774114,False
10D,mid,importance,32,27.794999999999998,0.993961527415776,0.7983427683300185,0.93,1.0,1.0,0.04472135901451111,0.105214156367947,0.1451035737991333,0.3296911183744669,False
10D,mid,importance,64,48.677499999999995,0.9970741603345922,0.9219752803869369,0.9412499999999999,1.0,1.0,0.03775035440921783,0.07150802334981562,0.11255842447280884,0.2410581199452281,True
10D,mid,kcenter,8,8.0,0.9785266490103238,0.7268983067581906,0.9237500000000001,1.0,1.0,0.0,0.09486709223128856,0.17505887150764465,0.319280225597322,False
10D,mid,kcenter,16,16.0,0.9903525790445912,0.8282296184425207,0.90625,1.0,1.0,0.0,0.06927839589770883,0.11732671409845352,0.2215492614544928,True
10D,mid,kcenter,32,32.0,0.9958613795527671,0.9151684235549349,0.95,1.0,1.0,0.0,0.034748291510550186,0.07003290951251984,0.13636320508085192,True
10D,mid,kcenter,64,64.0,0.9985241998587033,0.9747740343606697,0.95375,1.0,1.0,0.0,0.014490074588684366,0.04746769368648529,0.07209572670981287,True
10D,mid,kcenter_mean2,8,7.9,0.9751192640479537,0.6555831737730656,0.89125,1.0,1.0,0.0,0.13322394072311,0.21587033569812775,0.3125538625754416,False
10D,mid,kcenter_mean2,16,15.5125,0.9901988250134798,0.8078607909444586,0.9125,1.0,1.0,0.0,0.07149573030619649,0.12098906189203262,0.22527629639953375,True
10D,mid,kcenter_mean2,32,30.52375,0.9961117182407945,0.9133702847946327,0.91875,1.0,1.0,0.0,0.04074753456843609,0.07938963174819946,0.13905942528508602,True
10D,mid,kcenter_mean2,64,57.395,0.998478709396904,0.9652916819667097,0.9650000000000001,1.0,1.0,0.0,0.018279015181542492,0.04274158552289009,0.08904795292764903,True
10D,late,uniform,8,8.0,0.9751504265448102,0.33480470702518816,0.8133333333333332,1.0,1.0,0.3860455850760142,0.28676672007810944,0.42479220032691956,0.6955315560102463,False
10D,late,uniform,16,16.0,0.9901896757195148,0.7095860574986578,0.8533333333333334,1.0,1.0,0.20272579590479534,0.18959000187848385,0.2879160940647125,0.4781576643387477,False
10D,late,uniform,32,32.0,0.9956967249034112,0.8756832942863163,0.9116666666666667,1.0,1.0,0.13041613698005677,0.12387156532543789,0.18761210143566132,0.3270034953951836,True
10D,late,uniform,64,64.0,0.9983314825273653,0.9662120687885202,0.9600000000000001,1.0,1.0,0.06665188272794088,0.02846035460067166,0.10380242764949799,0.19240973045428594,True
10D,late,importance,8,7.743333333333334,0.980521042694711,0.307194082929702,0.8200000000000001,1.0,1.0,0.3169463853041331,0.2852300770153912,0.3316616117954254,0.5478720645109812,False
10D,late,importance,16,14.866666666666667,0.9905997925923227,0.7474450680175388,0.8816666666666666,1.0,1.0,0.20470604300498962,0.15595215026502654,0.24570930004119873,0.3999108565350374,False
10D,late,importance,32,27.779999999999998,0.9952967101657086,0.8888531756917202,0.9083333333333333,1.0,1.0,0.11173798441886902,0.11545384330675006,0.18495124578475952,0.2963914453983307,True
10D,late,importance,64,48.085,0.9976672476763901,0.9514949113790173,0.94,1.0,1.0,0.09518624544143676,0.08115018995498152,0.10555100440979004,0.20569896946350733,True
10D,late,kcenter,8,8.0,0.9885302039862561,0.833212819911094,0.8666666666666667,1.0,1.0,0.0,0.08616171397734433,0.16064558923244476,0.26915449773271877,True
10D,late,kcenter,16,16.0,0.9948547251261107,0.8689685852151544,0.91,1.0,1.0,0.0,0.06065915464423597,0.1032605916261673,0.18951771321396033,True
10D,late,kcenter,32,32.0,0.9978497159450357,0.9466153862572781,0.935,1.0,1.0,0.0,0.029590840538730845,0.06643877178430557,0.12064434004326662,True
10D,late,kcenter,64,64.0,0.9990808301327103,0.9792406909997609,0.95,1.0,1.0,0.0,0.006251731842833882,0.04249576851725578,0.060711233985299866,True
10D,late,kcenter_mean2,8,7.89,0.9870449815202339,0.8401895038585574,0.895,1.0,1.0,0.0,0.08316377258937185,0.19464346766471863,0.26501945207516353,True
10D,late,kcenter_mean2,16,15.49,0.9936832079050258,0.8765060524896658,0.9133333333333333,1.0,1.0,0.0,0.05888247035327367,0.10765872150659561,0.19476917323966822,True
