setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
10D,early,uniform,8,8.0,0.9849057999526599,0.6781519111188867,0.9125,1.0,1.0,0.0,0.17213950827135704,0.34363752603530884,0.4108504932373762,False
10D,early,uniform,16,16.0,0.9889378981705985,0.8477547508175116,0.90625,1.0,1.0,0.0,0.06466425418693689,0.23712673783302307,0.2842540107667446,True
10D,early,uniform,32,32.0,0.9972075117452666,0.9230072564537416,0.94375,1.0,1.0,0.0,0.02829519683655235,0.1622290313243866,0.20102325826883316,True
10D,early,uniform,64,64.0,0.9989892778822007,0.9796386869274375,0.99375,1.0,1.0,0.0,0.0072286775382508495,0.07782328128814697,0.10243206564337015,True
10D,early,importance,8,7.7125,0.9906865184670075,0.7264677886875206,0.925,1.0,1.0,0.055901698768138885,0.0775251328923332,0.29343563318252563,0.36911138892173767,False
10D,early,importance,16,14.94375,0.9964301146086966,0.8985726747324542,0.925,1.0,1.0,0.0,0.03932504206022713,0.17305803298950195,0.20964922942221165,True
10D,early,importance,32,27.76875,0.9966998262748431,0.9057590861444931,0.94375,1.0,1.0,0.0,0.029326325506190187,0.11747275292873383,0.15722212567925453,True
10D,early,importance,64,47.99375,0.998525923230313,0.9694397731926426,0.98125,1.0,1.0,0.0,0.010512242248296388,0.10195928812026978,0.12080290261656046,True
10D,early,kcenter,8,8.0,0.9925042828646528,0.804960856161179,0.93125,1.0,1.0,0.0,0.04920543175103376,0.22796869277954102,0.30487940087914467,True
10D,early,kcenter,16,16.0,0.9971425038384725,0.9315931596923832,0.96875,1.0,1.0,0.0,0.01721740160792251,0.09808782488107681,0.12734367791563272,True
10D,early,kcenter,32,32.0,0.9986224419833648,0.9687547466262774,0.95625,1.0,1.0,0.0,0.0132532329357673,0.072475865483284,0.09619682841002941,True
10D,early,kcenter,64,64.0,0.9993208707102634,0.9809444066306211,0.975,1.0,1.0,0.0,0.006603843354014316,0.046868108212947845,0.06755802826955914,True
10D,early,kcenter_mean2,8,7.8375,0.9874721814170203,0.7955817606275213,0.9,1.0,1.0,0.0,0.058525445963823586,0.2553195357322693,0.3172013759613037,False
10D,early,kcenter_mean2,16,15.325,0.995364473225131,0.8892105212127885,0.95,1.0,1.0,0.0,0.03469029695406789,0.12968796491622925,0.1810776898637414,True
10D,early,kcenter_mean2,32,30.64375,0.9980829684512754,0.9643609129342204,0.9625,1.0,1.0,0.0,0.015484155544982059,0.08365599066019058,0.11476765386760235,True
10D,early,kcenter_mean2,64,59.0625,0.9991268563709432,0.983412473810734,0.9875,1.0,1.0,0.0,0.007072306136592488,0.05135657638311386,0.060274414252489805,True
10D,mid,uniform,8,8.0,0.8693915721201326,0.2890775484885051,0.775,1.0,1.0,0.15849953144788742,0.19760644203051925,0.750721275806427,0.640946488827467,False
10D,mid,uniform,16,16.0,0.9613258728012231,0.6120708142520879,0.9,1.0,1.0,0.0,0.1550734287011437,0.2613210082054138,0.34326148219406605,False
10D,mid,uniform,32,32.0,0.9829247400418244,0.7769439481152938,0.89375,1.0,1.0,0.0,0.0911439705232624,0.22590360045433044,0.2527364734560251,False
10D,mid,uniform,64,64.0,0.9925428506989399,0.900071973309312,0.88125,1.0,1.0,0.0,0.03971910949621815,0.12933094799518585,0.13547373097389936,True
10D,mid,importance,8,7.7,0.9028799056988115,0.5525810186709048,0.8375,1.0,1.0,0.0769483745098114,0.17115830210968852,0.5212036371231079,0.6161217913031578,False
10D,mid,importance,16,14.9625,0.9514343351120149,0.4791269453156228,0.84375,1.0,1.0,0.0,0.13937664846889675,0.30302515625953674,0.35235865227878094,False
10D,mid,importance,32,27.74375,0.9845957678189926,0.7194470835292922,0.89375,1.0,1.0,0.0,0.08868702873587608,0.21912117302417755,0.23232804983854294,False
10D,mid,importance,64,48.7,0.989914850904799,0.8306518879904132,0.9,1.0,1.0,0.0,0.06815334047860233,0.16002091765403748,0.15457170456647873,True
10D,mid,kcenter,8,8.0,0.9556833021081448,0.5990949060321588,0.7875,1.0,1.0,0.0,0.15054131840588525,0.4491652548313141,0.5152491554617882,False
10D,mid,kcenter,16,16.0,0.9755537603854595,0.7274299312944478,0.81875,1.0,1.0,0.0,0.09899890133237932,0.27403390407562256,0.29014105815440416,False
10D,mid,kcenter,32,32.0,0.9893262543916802,0.8264314622158933,0.88125,1.0,1.0,0.0,0.06790035092853941,0.17111575603485107,0.17735324101522565,True
10D,mid,kcenter,64,64.0,0.992711097165723,0.918630872273847,0.9125,1.0,1.0,0.0,0.029573230505775427,0.06685586273670197,0.10424894071184099,True
10D,mid,kcenter_mean2,8,7.93125,0.9287984105090406,0.19803679661027299,0.7,1.0,1.0,0.0,0.18934125764644705,0.8114455938339233,0.794657438993454,False
10D,mid,kcenter_mean2,16,15.6625,0.9711174822870425,0.6886112265008885,0.78125,1.0,1.0,0.0,0.1324281736742705,0.34051942825317383,0.328343590721488,False
10D,mid,kcenter_mean2,32,30.7,0.982841054096168,0.8050084876578675,0.85625,1.0,1.0,0.0,0.07958449755824404,0.13706989586353302,0.16601648647338152,True
10D,mid,kcenter_mean2,64,59.125,0.9952729228272553,0.917361392060566,0.9125,1.0,1.0,0.0,0.04301972826215206,0.09992028772830963,0.10156438336707652,True
10D,late,uniform,8,8.0,0.7775090941682389,-0.1312063512601616,0.6916666666666668,1.0,-1.0,0.40251510341962177,0.41509115199248,1.2835683822631836,0.9795568883419037,False
10D,late,uniform,16,16.0,0.8832074611699576,0.4597131659580206,0.6916666666666668,1.0,1.0,0.37280090649922687,0.26095738137761754,0.8021089434623718,0.6453143407901129,False
10D,late,uniform,32,32.0,0.9253192948017686,0.6328108804736049,0.8416666666666667,1.0,1.0,0.14907119671503702,0.17575514937440553,0.4554385244846344,0.4010293632745743,False
10D,late,uniform,64,64.0,0.97240683328144,0.8173368715899019,0.875,1.0,1.0,0.0,0.07422861984620492,0.25010016560554504,0.22031284868717194,True
10D,late,importance,8,7.7,0.8133473998107901,-0.1406116217288215,0.7166666666666667,1.0,1.0,0.3334485590457916,0.4056513036290805,0.8182226419448853,0.8057655493418375,False
10D,late,importance,16,14.85,0.8713197351064041,0.3837825357757417,0.7833333333333333,1.0,1.0,0.2516690293947856,0.2869649330774943,0.5481301546096802,0.6074677432576815,False
10D,late,importance,32,27.808333333333334,0.9242485451367722,0.4249112207454575,0.8083333333333332,1.0,1.0,0.20519566535949707,0.24351382379730543,0.41226091980934143,0.36595964183410007,False
10D,late,importance,64,48.14166666666667,0.9406945551242188,0.6599684617757449,0.8833333333333333,1.0,1.0,0.07453559835751851,0.14899478169778982,0.1759795844554901,0.27894387642542523,False
10D,late,kcenter,8,8.0,0.8213245108860792,0.4480260603674809,0.7333333333333334,1.0,1.0,0.0,0.21686757107575735,0.48071685433387756,0.5455009688933691,False
10D,late,kcenter,16,16.0,0.9281396282505571,0.705305481168534,0.8583333333333334,1.0,1.0,0.0,0.15339081858595213,0.3465645909309387,0.3450714473923047,False
10D,late,kcenter,32,32.0,0.9631498821225837,0.7790304634677591,0.8416666666666667,1.0,1.0,0.0,0.1118775587528944,0.17024773359298706,0.2501736730337143,False
10D,late,kcenter,64,64.0,0.9786806506948709,0.8899415039830096,0.8916666666666666,1.0,1.0,0.0,0.041092440796395145,0.11314407736063004,0.12501940007011095,True
10D,late,kcenter_mean2,8,7.891666666666667,0.7578948371003859,0.2525707578860513,0.6583333333333333,1.0,1.0,0.0,0.2673647316793601,0.9439338445663452,1.3030832807223003,False
10D,late,kcenter_mean2,16,15.483333333333334,0.9233396429563713,0.6007582604190577,0.7999999999999999,1.0,1.0,0.0,0.18394873663783073,0.3910764753818512,0.4072287579377492,False
10D,late,kcenter_mean2,32,30.333333333333332,0.9493604020543219,0.836588242685473,0.875,1.0,1.0,0.0,0.09900584941109021,0.20290061831474304,0.302011851221323,True
10D,late,kcenter_mean2,64,57.90833333333333,0.9813612403334654,0.887563342555776,0.9166666666666666,1.0,1.0,0.0,0.05012318926552931,0.12131522595882416,0.13786963870127997,True
10D,all,uniform,8,8.0,0.911172516622846,0.24577624631403927,0.8022727272727272,1.0,1.0,0.1674130396409468,0.24765975065317683,0.44663137197494507,0.6496235084804621,False
10D,all,uniform,16,16.0,0.9599375969097702,0.6086272200744569,0.8454545454545456,1.0,1.0,0.10167297449978915,0.15107480688047045,0.26118725538253784,0.40418227220123465,False
10D,all,uniform,32,32.0,0.9831376402296728,0.785649198892662,0.8977272727272727,1.0,1.0,0.04065578092228283,0.09136564705113415,0.20538072288036346,0.2743751833384687,False
10D,all,uniform,64,64.0,0.9938242078651062,0.9142065182833918,0.9204545454545454,1.0,1.0,0.0,0.037316091606953705,0.11326350271701813,0.1465965211391449,True
10D,all,importance,8,7.704545454545454,0.9286882711006696,0.4264172106077527,0.8363636363636363,1.0,1.0,0.139249633659016,0.2010625137177571,0.4969126582145691,0.5780208517204631,False
10D,all,importance,16,14.925,0.968334263744896,0.6360544421404405,0.8568181818181819,1.0,1.0,0.0686370080167597,0.14324559648627078,0.27738407254219055,0.3700395233251832,False
10D,all,importance,32,27.770454545454548,0.9802193031898669,0.7463395196525647,0.8886363636363637,1.0,1.0,0.05596245418895374,0.10932680803274376,0.154621422290802,0.24146178432486273,False
10D,all,importance,64,48.290909090909096,0.9880178620018916,0.8131611247298896,0.925,1.0,1.0,0.020327890461141414,0.06924060690917858,0.10865209996700287,0.17621182345531203,True
10D,all,kcenter,8,8.0,0.9556833021081448,0.6452997260981417,0.825,1.0,1.0,0.0,0.13178088307772254,0.36069321632385254,0.44700155745853076,False
10D,all,kcenter,16,16.0,0.9809705013510898,0.7903043078715588,0.884090909090909,1.0,1.0,0.0,0.08409433341082397,0.1413123905658722,0.24592302604155106,False
10D,all,kcenter,32,32.0,0.9893262543916802,0.8657239731031163,0.8977272727272727,1.0,1.0,0.0,0.060022455610537276,0.1270470917224884,0.1677019360729239,True
10D,all,kcenter,64,64.0,0.9946311336159124,0.9237420393455213,0.9295454545454546,1.0,1.0,0.0,0.024362328893485854,0.061465270817279816,0.09657146146690304,True
10D,all,kcenter_mean2,8,7.886363636363637,0.9280128916890947,0.3595861412264966,0.7613636363636364,1.0,1.0,0.0,0.16305100086174207,0.3830394744873047,0.7596986456350847,False
10D,all,kcenter_mean2,16,15.490909090909092,0.9761544289255962,0.7462505190463464,0.8477272727272727,1.0,1.0,0.0,0.11093819022062235,0.1350027322769165,0.29630649055946956,False
10D,all,kcenter_mean2,32,30.579545454545453,0.985623144329344,0.8580010715999511,0.9,1.0,1.0,0.0,0.06157201460419773,0.10123397409915924,0.18447019227526404,True
10D,all,kcenter_mean2,64,58.77045454545455,0.9948107916248646,0.932935866786694,0.9409090909090909,1.0,1.0,0.0,0.03188524594468783,0.0722125992178917,0.09645128241655501,True
dimy8,early,uniform,8,8.0,1.0,1.0,0.95625,0.9928617673917736,0.9199315178307623,0.022665363081614487,0.2454836368560791,0.21856670081615448,0.3843843868235126,True
dimy8,early,uniform,16,16.0,1.0,1.0,0.9875,0.9965788198596686,0.9726262093222379,0.011915001061424846,0.0769483745098114,0.1493590772151947,0.23009537940379232,True
dimy8,early,uniform,32,32.0,1.0,1.0,1.0,0.9984543985773674,0.988915457994258,0.006157040181278717,0.0,0.09260813146829605,0.173857104673516,True
dimy8,early,uniform,64,64.0,1.0,1.0,1.0,0.9996091169941006,0.9957053511227625,0.0013058132603873673,0.0,0.05536004155874252,0.09823492672876455,True
dimy8,early,importance,8,7.76875,1.0,1.0,0.94375,0.993605045674237,0.9376134101938004,0.020333864966232795,0.26109736412763596,0.17922621965408325,0.3066538661078084,True
dimy8,early,importance,16,15.19375,1.0,1.0,0.98125,0.9959856392390403,0.962497663562697,0.012960036310687428,0.1328500732779503,0.13365772366523743,0.22315026086289436,True
dimy8,early,importance,32,28.48125,1.0,1.0,0.9875,0.9978400018006,0.984672595910395,0.005305716815200867,0.0769483745098114,0.08403526246547699,0.18277079649851657,True
dimy8,early,importance,64,50.05,1.0,1.0,1.0,0.9991741635113927,0.990325600025872,0.003067694457968173,0.0,0.04174954444169998,0.15982360756606795,True
dimy8,early,kcenter,8,8.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter,16,16.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter,32,32.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter,64,64.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter_mean2,8,7.625,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter_mean2,16,15.375,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter_mean2,32,30.69375,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,early,kcenter_mean2,64,58.4125,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
dimy8,mid,uniform,8,8.0,1.0,1.0,0.96875,0.978988260726214,0.8737572051715955,0.046791732747806236,0.11106541752815247,0.19379910826683044,0.409036451485008,True
dimy8,mid,uniform,16,16.0,1.0,1.0,0.95,0.9882373772923918,0.9515010264442306,0.02421799327566987,0.12565617263317108,0.11474571377038956,0.3409465462900698,True
dimy8,mid,uniform,32,32.0,1.0,1.0,0.975,0.9958752660196831,0.97283022539329,0.01332874468062073,0.10259783267974854,0.06866367906332016,0.1845350379589945,True
dimy8,mid,uniform,64,64.0,1.0,1.0,0.98125,0.998112067368911,0.9925246245778528,0.002676920898920798,0.0915868878364563,0.04228482395410538,0.14729966840241104,True
dimy8,mid,importance,8,7.76875,1.0,1.0,0.95,0.9759059787204324,0.871385978839624,0.04715844462043606,0.1782418191432953,0.18792471289634705,0.41510804544668645,True
dimy8,mid,importance,16,15.1625,1.0,1.0,0.9625,0.9866874434999486,0.9436952480851898,0.02593089171568863,0.11754058301448822,0.12581858038902283,0.3362025513779372,True
dimy8,mid,importance,32,28.325,1.0,1.0,0.96875,0.9947032135772713,0.9566093254196637,0.015330174705013633,0.11106541752815247,0.09449061006307602,0.22114697721553966,True
dimy8,mid,importance,64,50.3375,1.0,1.0,0.96875,0.9976450112405896,0.9815997661107628,0.008027485164348036,0.11106541752815247,0.06982666254043579,0.15930384391685948,True
dimy8,mid,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.5288268429003438e-08,True
