setting,arm,score,success,diverged,fwd_samples,diff_samples,seconds_per_run,peak_mem_mb,diff_vs_full,diff_vs_fresh,ci_vs_full,p_vs_full,ci_vs_fresh,p_vs_fresh
10D,full128,0.5011437999050031,0.0,0,12672.0,12672.0,1.2877921719604637,1696.953125,,,,,,
10D,kcenter16,0.4859778977976908,0.0,0,14256.0,1584.0,1.320787528619403,2108.16015625,0.015165902107312277,0.03502523633625135,"[-0.014649902444393742, 0.0445316245109396]",0.32258387080645967,"[-0.005164446398934429, 0.07487644800870666]",0.08859557022148892
10D,kcenter32,0.502482900713958,0.0,0,15840.0,3168.0,1.4308709450101014,2245.0234375,-0.001339100808954865,-0.0011994760516094332,"[-0.026776742281568032, 0.023850567155132892]",0.92000399980001,"[-0.03378920481452281, 0.030502307201718083]",0.943302834858257
10D,kcenter_mean2_16,0.4784158955005662,0.0,0,14201.7,1529.7,1.404630115220789,2462.9921875,0.022727904404436873,0.04258723863337594,"[-0.003829022595599579, 0.04982531269442596]",0.10579471026448678,"[0.00686916498422273, 0.07826732918934841]",0.020848957552122394
10D,uniform32,0.4867936199708202,0.0,0,15840.0,3168.0,1.3657039428304416,4077.5625,0.01435017993418287,0.014489804691528302,"[-0.014308128112011926, 0.043731732138199385]",0.3349832508374581,"[-0.017688284535916893, 0.04701366193432833]",0.38893055347232636
10D,fresh16,0.5210031341339421,0.0,0,1584.0,1584.0,0.6677497174497694,4077.5625,-0.01985933422893907,,"[-0.05775410779923306, 0.01842449302845777]",0.3073346332683366,,
10D,fresh32,0.5012834246623484,0.0,0,3168.0,3168.0,0.7576188945805188,4077.5625,-0.00013962475734543233,,"[-0.03273522073760342, 0.03293058159832984]",0.9935503224838758,,
10D_z003,full128,0.6080114482714972,0.0,0,12672.0,12672.0,1.0665286791406106,1694.4453125,,,,,,
10D_z003,kcenter16,0.6082229372843716,0.0,0,14256.0,1584.0,1.0698603075405118,2007.671875,-0.00021148901287444566,0.00478804183856806,"[-0.00282071068440009, 0.0020813727773127295]",0.8756062196890155,"[-0.003634542824110634, 0.01441531367350463]",0.3217839108044598
10D_z003,kcenter32,0.6095214024521104,0.0,0,15840.0,3168.0,1.1534037087892648,2144.51171875,-0.0015099541806132448,0.0022339489193745825,"[-0.0036829730467813067, 0.0005152208313943302]",0.16924153792310384,"[-0.0039183381863590085, 0.010285079677697422]",0.6538673066346683
10D_z003,kcenter_mean2_16,0.6115359426845615,0.0,0,14198.99,1526.99,1.1178418180905283,2313.97265625,-0.003524494413064273,0.0014750364383782333,"[-0.012012688145520704, 0.004366669464418254]",0.4485775711214439,"[-0.004527490102453774, 0.00769437053104696]",0.6408679566021699
10D_z003,uniform32,0.6063774617106366,0.0,0,15840.0,3168.0,1.0999392505199648,4243.70703125,0.0016339865608606529,0.00537788966084848,"[-0.0012720631858832083, 0.004741839912473335]",0.29208539573021347,"[-0.0007636467751213894, 0.013473773644458824]",0.13389330533473326
10D_z003,fresh16,0.6130109791229397,0.0,0,1584.0,1584.0,0.537859304039739,4243.70703125,-0.004999530851442506,,"[-0.014160553276771626, 0.0027967679556251818]",0.27638618069096543,,
10D_z003,fresh32,0.611755351371485,0.0,0,3168.0,3168.0,0.6058630338090006,4243.70703125,-0.0037439030999878277,,"[-0.011559490085567885, 0.0018637809369550595]",0.3465326733663317,,
