setting,arm,score,success,diverged,fwd_samples,diff_samples,seconds_per_run,peak_mem_mb,diff_vs_full,diff_vs_fresh,ci_vs_full,p_vs_full,ci_vs_fresh,p_vs_fresh
10D,full128,0.5582522641395252,0.0,0,12672.0,12672.0,0.3257293081987882,366.109375,,,,,,
10D,kcenter16,0.5739495945815888,0.0,0,14256.0,1584.0,0.3095444168007816,374.265625,-0.01569733044206346,-0.028156089954566966,"[-0.09936482692076536, 0.07721479953996246]",0.6912654367281635,"[-0.11611718793007755, 0.059805008020943615]",0.6274686265686715
10D,kcenter32,0.4443420452935203,0.0,0,15840.0,3168.0,0.3061529500002507,384.375,0.11391021884600494,-0.0012060312076548451,"[-0.02294858128579692, 0.32749745956599396]",0.31398430078496076,"[-0.12079812678163539, 0.13814265620580407]",0.936053197340133
10D,kcenter_mean2_16,0.4432954793081885,0.0,0,14213.0,1541.0,0.29269265000039013,390.4375,0.11495678483133676,0.10249802531883326,"[0.010439284795973414, 0.30279219877386143]",0.06494675266236688,"[-0.01329800797906996, 0.2579026102478171]",0.31798410079496026
10D,uniform32,0.5547625769708826,0.0,0,15840.0,3168.0,0.27685310000088065,397.234375,0.00348968716864273,-0.11162656288501707,"[-0.2177470789639488, 0.275294613128094]",0.9400529973501325,"[-0.18766572976713497, -0.035587396002899174]",0.06494675266236688
10D,fresh16,0.5457935046270218,0.0,0,1584.0,1584.0,0.11436622500041267,397.96875,0.012458759512503503,,"[-0.05380995927206957, 0.08479650799433984]",0.8765061746912655,,
10D,fresh32,0.44313601408586545,0.0,0,3168.0,3168.0,0.13553055000083986,399.75,0.1151162500536598,,"[-0.13398968096237113, 0.3542321020617953]",0.44532773361331934,,
dimy16,full128,0.15548438240131812,0.0,0,12672.0,12672.0,0.33496535400263383,311.046875,,,,,,
dimy16,kcenter16,0.15548438240131812,0.0,0,14256.0,1584.0,1.086362250000093,363.65625,0.0,0.00017283858545784347,"[0.0, 0.0]",1.0,"[0.00012748790844899216, 0.0002181892624666948]",0.4976751162441878
dimy16,kcenter32,0.15548438240131812,0.0,0,15840.0,3168.0,0.49675597949681105,363.765625,0.0,-0.00018871241552070872,"[0.0, 0.0]",1.0,"[-0.0002529111445152554, -0.00012451368652616202]",0.4976751162441878
dimy16,kcenter_mean2_16,0.15548438240131812,0.0,0,14208.5,1536.5,0.42348562499682885,363.921875,0.0,0.00017283858545784347,"[0.0, 0.0]",1.0,"[0.00012748790844899216, 0.0002181892624666948]",0.4976751162441878
dimy16,uniform32,0.155531472181125,0.0,0,15840.0,3168.0,0.4168409374979092,364.25,-4.708977980689977e-05,-0.0002358021953276085,"[-5.419420030397526e-05, -3.9985359309824275e-05]",0.4976751162441878,"[-0.0003071053448192307, -0.0001644990458359863]",0.4976751162441878
dimy16,fresh16,0.15565722098677595,0.0,0,1584.0,1584.0,0.2311613749989192,364.265625,-0.00017283858545784347,,"[-0.0002181892624666948, -0.00012748790844899216]",0.4976751162441878,,
dimy16,fresh32,0.1552956699857974,0.0,0,3168.0,3168.0,0.2543341875025362,364.265625,0.00018871241552070872,,"[0.00012451368652616202, 0.0002529111445152554]",0.4976751162441878,,
nuis16,full128,0.014276787303889923,0.5,0,12672.0,12672.0,0.3170019790013612,316.0625,,,,,,
nuis16,kcenter16,0.014276787303889923,0.5,0,14256.0,1584.0,0.4395603539996955,320.46875,0.0,0.0012150563474626042,"[0.0, 0.0]",1.0,"[4.3657163420373485e-05, 0.002386455531504835]",0.4976751162441878
nuis16,kcenter32,0.014276787303889923,0.5,0,15840.0,3168.0,0.43044252100298763,327.734375,0.0,0.0010669997528936878,"[0.0, 0.0]",1.0,"[-0.00018705594335437573, 0.0023210554491417514]",1.0
nuis16,kcenter_mean2_16,0.014276787303889923,0.5,0,14245.0,1573.0,0.44084414600001764,337.390625,0.0,0.0012150563474626042,"[0.0, 0.0]",1.0,"[4.3657163420373485e-05, 0.002386455531504835]",0.4976751162441878
nuis16,uniform32,0.014160841323198645,0.5,0,15840.0,3168.0,0.3880333330016583,337.75,0.00011594598069127819,0.0011829457335849661,"[2.190925051183206e-05, 0.00020998271087072432]",0.4976751162441878,"[2.292676751634859e-05, 0.0023429646996535837]",0.4976751162441878
nuis16,fresh16,0.015491843651352527,0.5,0,1584.0,1584.0,0.2281847080012085,340.515625,-0.0012150563474626042,,"[-0.002386455531504835, -4.3657163420373485e-05]",0.4976751162441878,,
nuis16,fresh32,0.01534378705678361,0.5,0,3168.0,3168.0,0.2413724164980522,340.515625,-0.0010669997528936878,,"[-0.0023210554491417514, 0.00018705594335437573]",1.0,,
