commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.710,778,,1584,1584,0.2615,0.5700,diverged=0;success=0.00
6af2081,A4:clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.750,777,,1584,1584,0.2618,0.6758,diverged=0;success=0.00
6af2081,A4:clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.704,779,,1584,1584,0.2884,0.6445,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.860,797,,1584,1584,0.2754,0.6170,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.770,757,,1584,1584,0.3406,0.5240,diverged=0;success=0.00
6af2081,A4:clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.705,784,,1584,1584,0.4167,0.4789,diverged=0;success=0.00
6af2081,A4:clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.743,767,,1584,1584,0.3211,0.5321,diverged=0;success=0.00
6af2081,A4:qclip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.741,780,,1584,1584,0.2986,0.5121,diverged=0;success=0.00
6af2081,A4:qclip0.75,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.742,778,,1584,1584,0.2854,0.5382,diverged=0;success=0.00
6af2081,A4:relclip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.823,784,,1584,1584,0.3977,0.5415,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.851,783,,1584,1584,0.2986,0.5121,diverged=0;success=0.00
6af2081,A4:relclip2,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.763,785,,1584,1584,0.297,0.5484,diverged=0;success=0.00
6af2081,A4:relclip_ema0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.648,784,,1584,1584,0.3836,0.5294,diverged=0;success=0.00
6af2081,A4:relclip_ema1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.765,784,,1584,1584,0.2846,0.4962,diverged=0;success=0.00
6af2081,A4:relclip_ema2,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.632,784,,1584,1584,0.2874,0.5122,diverged=0;success=0.00
6af2081,A4:sqrt_floor,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.843,782,,1584,1584,0.3144,0.4898,diverged=0;success=0.00
6af2081,A4:sqrtfloor_clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.632,781,,1584,1584,0.4481,0.4816,diverged=0;success=0.00
6af2081,A4:sqrtfloor_clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.713,779,,1584,1584,0.373,0.5350,diverged=0;success=0.00
6af2081,A4:sqrtfloor_relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.723,777,,1584,1584,0.3334,0.5301,diverged=0;success=0.00
6af2081,A4:trust_ddim0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.763,784,,1584,1584,0.4506,0.4129,diverged=0;success=0.00
6af2081,A4:trust_ddim0.3,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.759,781,,1584,1584,0.3985,0.4395,diverged=0;success=0.00
6af2081,A4:trust_ddim1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,4.382,779,,1584,1584,0.4061,0.4724,diverged=0;success=0.00
6af2081,A4:trust_noise0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.644,785,,1584,1584,0.4039,0.4582,diverged=0;success=0.00
6af2081,A4:trust_noise0.3,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.819,784,,1584,1584,0.3934,0.5158,diverged=0;success=0.00
6af2081,A4:trust_noise1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=16;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.812,787,,1584,1584,0.2815,0.4941,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=24;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.865,759,,2376,2376,0.2723,0.5010,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=2;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.732,754,,198,198,0.3514,0.6366,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;lgd/none/rng=legacy/restarts=40@0,arm64 cpu,float32,1.861,775,,9504,9504,0.211,0.4315,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,2.027,859,,9504,9504,0.1799,0.4343,diverged=0;success=0.00
6af2081,A4:clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.775,855,,9504,9504,0.2235,0.4810,diverged=0;success=0.00
6af2081,A4:clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.936,821,,9504,9504,0.1754,0.5884,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.877,852,,9504,9504,0.1994,0.5880,diverged=0;success=0.00
6af2081,A4:adapt_agree0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,1.765,829,,3168,3168,0.3266,0.6207,diverged=0;success=0.00
6af2081,A4:antithetic,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.688,756,,3168,3168,0.185,0.4983,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=legacy/restarts=40@0,arm64 cpu,float32,0.715,763,,3168,3168,0.208,0.5847,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.800,756,,3168,3168,0.2152,0.5670,diverged=0;success=0.00
6af2081,A4:clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.767,788,,3168,3168,0.233,0.6886,diverged=0;success=0.00
6af2081,A4:clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.914,790,,3168,3168,0.2116,0.6497,diverged=0;success=0.00
6af2081,A4:crn,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.743,752,,3168,3168,0.1083,0.6005,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/adam/rng=tape/restarts=40@0,arm64 cpu,float32,0.750,789,,3168,3168,0.1979,0.6178,diverged=0;success=0.00
6af2081,A4:adapt_agree0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.735,784,,3168,3168,0.3442,0.5734,diverged=0;success=0.00
6af2081,A4:adapt_agree0.8,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.641,789,,3168,3168,0.3508,0.6377,diverged=0;success=0.00
6af2081,A4:adapt_improve,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.814,773,,3168,3168,0.3271,0.5515,diverged=0;success=0.00
6af2081,A4:antithetic,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.878,758,,3168,3168,0.1775,0.4669,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=legacy/restarts=40@0,arm64 cpu,float32,0.711,759,,3168,3168,0.2959,0.4928,diverged=0;success=0.00
6af2081,A4:baseline,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.906,788,,3168,3168,0.2899,0.4935,diverged=0;success=0.00
6af2081,A4:bw_pooled_floor,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.807,755,,3168,3168,0.2626,0.4551,diverged=0;success=0.00
6af2081,A4:bw_pooled,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.901,765,,3168,3168,0.2945,0.5089,diverged=0;success=0.00
6af2081,A4:clip0.1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.860,759,,3168,3168,0.3188,0.4924,diverged=0;success=0.00
6af2081,A4:clip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.905,790,,3168,3168,0.2585,0.5606,diverged=0;success=0.00
6af2081,A4:crn,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.865,759,,3168,3168,0.05986,0.5584,diverged=0;success=0.00
6af2081,A4:norm_only,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.846,783,,3168,3168,0.215,0.6744,diverged=0;success=0.00
6af2081,A4:qclip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.817,797,,3168,3168,0.2503,0.5636,diverged=0;success=0.00
6af2081,A4:qclip0.75,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.742,793,,3168,3168,0.2051,0.4771,diverged=0;success=0.00
6af2081,A4:recur2_next_state_tweedie,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,1.612,730,,6336,6336,0.2119,0.5712,diverged=0;success=0.00
6af2081,A4:relclip0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.756,798,,3168,3168,0.3128,0.5650,diverged=0;success=0.00
6af2081,A4:relclip1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.817,804,,3168,3168,0.2503,0.5636,diverged=0;success=0.00
6af2081,A4:relclip2,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.833,796,,3168,3168,0.2085,0.4858,diverged=0;success=0.00
6af2081,A4:relclip_ema0.5,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.779,796,,3168,3168,0.3132,0.5597,diverged=0;success=0.00
6af2081,A4:relclip_ema1,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.816,794,,3168,3168,0.2291,0.5305,diverged=0;success=0.00
6af2081,A4:relclip_ema2,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.859,791,,3168,3168,0.2061,0.4674,diverged=0;success=0.00
6af2081,A4:sqrt_abs_eps,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.775,752,,3168,3168,0.3415,0.5336,diverged=0;success=0.00
6af2081,A4:sqrt_floor,synthetic_10D,S_G_250_seed987654,restarts_0..39,n=32;no_lgd/none/rng=tape/restarts=40@0,arm64 cpu,float32,0.760,754,,3168,3168,0.3256,0.4996,diverged=0;success=0.00
