setting,spatial,n,variant,ref_wall_s,fast_wall_s,speedup,max_abs_dx,cond_calls
2D,no_lgd,8,control_stacked_mm,0.34011733399984223,0.35003874999983964,0.9716562352025255,1.3828277587890625e-05,792
2D,no_lgd,8,fixed_mm,0.34011733399984223,0.2043435830000817,1.6644385353647548,1.430511474609375e-05,792
2D,no_lgd,8,fixed_mm_powchain,0.34011733399984223,0.19257062499946187,1.766195306271622,1.049041748046875e-05,792
2D,no_lgd,32,control_stacked_mm,0.3512971660002222,0.31284950000008394,1.1228950853369686,0.14081192016601562,3168
2D,no_lgd,32,fixed_mm,0.3512971660002222,0.19081570799971814,1.841028548869473,0.18481159210205078,3168
2D,no_lgd,32,fixed_mm_powchain,0.3512971660002222,0.17422595900006854,2.016330792589203,0.026731491088867188,3168
2D,lgd,8,control_stacked_mm,0.744923000000199,0.7649286670002766,0.9738463625915194,0.11923789978027344,2376
2D,lgd,8,fixed_mm,0.744923000000199,0.3858233749997453,1.9307357932906235,0.00743865966796875,2376
2D,lgd,8,fixed_mm_powchain,0.744923000000199,0.3879702919994088,1.9200516517933133,0.11926555633544922,2376
2D,lgd,32,control_stacked_mm,0.8773717080002825,0.898729333999654,0.9762357528664134,0.014216899871826172,9504
2D,lgd,32,fixed_mm,0.8773717080002825,0.48812595900017186,1.7974289050256669,0.038684844970703125,9504
2D,lgd,32,fixed_mm_powchain,0.8773717080002825,0.4446536659997946,1.9731574820765962,0.038720130920410156,9504
