commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081+P,baseline,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.599528244929388,789.30859375,,396,396,,0.5848107256331776,ok
6af2081+P,baseline,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.477929317043163,784.359375,,792,792,,0.3807159632063447,ok
6af2081+P,baseline,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.126144987996668,786.765625,,3168,3168,,0.25184540865647753,ok
6af2081+P,trust_noise1,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,23.83682409801986,787.421875,,396,396,,0.17784346591299885,ok
6af2081+P,trust_noise1,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.05848096194677,787.50390625,,792,792,,0.18061010843389097,ok
6af2081+P,trust_noise1,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,30.90239152603317,787.328125,,3168,3168,,0.2311460132813809,ok
6af2081+P,precond_cov,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.218286293908022,785.7734375,,396,396,,0.5848107256331776,ok
6af2081+P,precond_cov,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.433214723947458,784.09375,,792,792,,0.3807159632063447,ok
6af2081+P,precond_cov,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,32.38776372408029,789.51953125,,3168,3168,,0.25184540865647753,ok
6af2081+P,precond_cov_trust,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,28.4277993660653,786.75,,396,396,,0.17784346591299885,ok
6af2081+P,precond_cov_trust,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.038440939970315,783.875,,792,792,,0.18061010843389097,ok
6af2081+P,precond_cov_trust,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,32.11969644005876,787.296875,,3168,3168,,0.2311460132813809,ok
6af2081+P,precond_diag,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,22.476321858004667,792.03515625,,396,396,,0.5848107256331776,ok
6af2081+P,precond_diag,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.28839931904804,784.30078125,,792,792,,0.3807159632063447,ok
6af2081+P,precond_diag,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,31.691827998962253,789.21875,,3168,3168,,0.25184540865647753,ok
6af2081+P,precond_diag_trust,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.87700286199106,784.5234375,,396,396,,0.17784346591299885,ok
6af2081+P,precond_diag_trust,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.923738014069386,786.671875,,792,792,,0.18061010843389097,ok
6af2081+P,precond_diag_trust,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,29.00962165510282,784.921875,,3168,3168,,0.2311460132813809,ok
6af2081+P,precond_sign,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.748562617984135,786.52734375,,396,396,,0.5848107256331776,ok
6af2081+P,precond_sign,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.509781960048713,787.90625,,792,792,,0.3807159632063447,ok
6af2081+P,precond_sign,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,34.03643670165911,781.2578125,,3168,3168,,0.25184540865647753,ok
6af2081+P,precond_sign_trust,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.786578437982826,784.8984375,,396,396,,0.17784346591299885,ok
6af2081+P,precond_sign_trust,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,27.39145993103739,786.03125,,792,792,,0.18061010843389097,ok
6af2081+P,precond_sign_trust,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,34.16014929488301,784.69921875,,3168,3168,,0.2311460132813809,ok
6af2081+P,precond_median,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.968097784993006,786.546875,,396,396,,0.21715671229819447,ok
6af2081+P,precond_median,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.850300009013154,787.32421875,,792,792,,0.1264246309983054,ok
6af2081+P,precond_median,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,33.87635603919625,784.8984375,,3168,3168,,0.17316900284205686,ok
6af2081+P,precond_median_trust,2D_n4_no_lgd_none,synthetic,0..39,precond round3,arm,float32,25.633356367936358,785.90625,,396,396,,0.22040308339270567,ok
6af2081+P,precond_median_trust,2D_n8_no_lgd_none,synthetic,0..39,precond round3,arm,float32,26.826112010050565,784.84375,,792,792,,0.13076168406105068,ok
6af2081+P,precond_median_trust,2D_n32_no_lgd_none,synthetic,0..39,precond round3,arm,float32,34.32824174687266,784.875,,3168,3168,,0.17323077307022772,ok
