commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,baseline,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1885,327.7,99,99,792,0.207368,0.218241,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1890,327.7,99,99,792,0.521971,0.313594,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1878,327.7,99,99,792,0.0106616,0.0435953,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1874,327.7,99,99,792,0.797691,0.180791,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1873,327.7,99,99,792,1.16022,1.09631,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2148,339.5,99,99,3168,0.0680287,0.231292,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2158,339.5,99,99,3168,0.0568442,0.255353,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2150,339.5,99,99,3168,0.0531626,0.261609,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2134,339.5,99,99,3168,0.180593,0.345869,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2200,339.5,99,99,3168,0.157616,0.138454,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1887,326.7,99,99,792,0.178999,0.0772716,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,1,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1895,326.7,99,99,792,0.522077,0.326587,ok
6af2081,baseline,synthetic_2D,S_G250_seed987654,2,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1882,326.7,99,99,792,0.278716,0.786037,ok
