-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::exp         8.20%      43.709ms         8.20%      43.709ms      22.075us     450.86 MB     450.86 MB          1980  
                                              aten::mul         7.86%      41.869ms         9.46%      50.405ms       2.597us     645.92 MB     645.52 MB         19406  
                                              aten::div         7.80%      41.533ms         7.97%      42.463ms      11.272us       1.05 GB       1.05 GB          3767  
                                            aten::addmm         6.38%      33.969ms         8.37%      44.572ms       3.881us     140.03 MB     140.03 MB         11484  
                                              aten::sum         6.05%      32.226ms         7.76%      41.336ms      13.469us     181.48 MB     181.47 MB          3069  
                                              aten::neg         5.60%      29.862ms         5.60%      29.862ms      16.758us     900.98 MB     900.98 MB          1782  
                                            aten::copy_         4.86%      25.895ms         4.86%      25.895ms       0.783us           0 B           0 B         33070  
                                            aten::fill_         4.27%      22.751ms         4.27%      22.751ms       4.335us           0 B           0 B          5248  
                                               aten::mm         4.17%      22.215ms         4.28%      22.793ms       1.919us     207.47 MB     207.47 MB         11880  
    autograd::engine::evaluate_function: AddmmBackward0         2.40%      12.804ms         8.49%      45.222ms       4.115us     -47.20 MB    -163.98 MB         10989  
                                              aten::add         2.28%      12.162ms         2.99%      15.950ms       1.289us      47.61 MB      47.59 MB         12376  
                                             aten::add_         2.08%      11.076ms         2.08%      11.076ms       2.380us           0 B           0 B          4653  
                                                aten::t         1.85%       9.877ms         3.05%      16.257ms       0.720us           0 B           0 B         22572  
                                           PowBackward0         1.67%       8.890ms         4.57%      24.333ms      81.930us      90.10 MB    -180.20 MB           297  
                                         AddmmBackward0         1.50%       7.972ms         5.88%      31.354ms       2.853us     116.73 MB           0 B         10989  
                                              aten::pow         1.49%       7.927ms         2.47%      13.138ms       3.014us     181.20 MB     181.20 MB          4359  
                                               aten::eq         1.25%       6.680ms         1.33%       7.109ms      14.361us      22.52 MB      22.52 MB           495  
                                       aten::as_strided         1.12%       5.984ms         1.12%       5.984ms       0.110us           0 B           0 B         54554  
                               aten::threshold_backward         1.12%       5.978ms         1.12%       5.978ms       1.342us      69.61 MB      69.61 MB          4455  
