-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul         8.51%      24.072ms        10.18%      28.810ms       3.464us     178.49 MB     178.35 MB          8318  
                                              aten::div         7.89%      22.319ms         8.07%      22.843ms      14.376us     300.92 MB     300.92 MB          1589  
                                              aten::exp         7.11%      20.118ms         7.11%      20.118ms      29.031us     125.82 MB     125.82 MB           693  
                                            aten::addmm         6.31%      17.846ms         8.11%      22.953ms       5.040us      12.25 MB      12.25 MB          4554  
                                              aten::sum         5.99%      16.950ms         7.82%      22.136ms      22.360us      50.67 MB      50.67 MB           990  
                                              aten::neg         5.14%      14.538ms         5.14%      14.538ms      18.356us     251.38 MB     251.38 MB           792  
                                            aten::fill_         5.02%      14.212ms         5.02%      14.212ms       7.552us           0 B           0 B          1882  
                                            aten::copy_         4.90%      13.872ms         4.90%      13.872ms       1.086us           0 B           0 B         12775  
                                               aten::mm         3.85%      10.891ms         3.98%      11.266ms       2.474us      35.42 MB      35.42 MB          4554  
    autograd::engine::evaluate_function: AddmmBackward0         2.59%       7.330ms         8.78%      24.848ms       5.837us      -4.38 MB     -14.51 MB          4257  
                                              aten::add         2.28%       6.450ms         3.00%       8.502ms       1.827us       4.24 MB       4.23 MB          4654  
                                                aten::t         2.18%       6.168ms         3.55%      10.038ms       1.127us           0 B           0 B          8910  
                                             aten::add_         2.07%       5.852ms         2.07%       5.852ms       2.570us           0 B           0 B          2277  
                                              aten::pow         1.80%       5.083ms         2.73%       7.740ms       4.877us      50.50 MB      50.50 MB          1587  
                                         AddmmBackward0         1.53%       4.341ms         5.93%      16.788ms       3.944us      10.08 MB           0 B          4257  
                                               aten::eq         1.31%       3.700ms         1.38%       3.901ms      19.700us       6.28 MB       6.28 MB           198  
                                       aten::as_strided         1.24%       3.508ms         1.24%       3.508ms       0.173us           0 B           0 B         20300  
                                     aten::masked_fill_         1.09%       3.078ms         1.09%       3.078ms      31.087us           0 B           0 B            99  
                                    aten::empty_strided         1.05%       2.975ms         1.05%       2.975ms       0.380us     171.74 KB     171.74 KB          7825  
