setting,n,arm,zeta,score,success,diverged,calls,s_per_run,offset,restarts
2D,4,A_trust_zt,16.0,0.3199367997601725,0.52,0,396,0.6520605221600272,6000,100
2D,4,B_notrust_zn,2.0,0.9095488763442299,0.11,9,396,0.7419048423005734,6000,100
2D,4,C_notrust_zt,16.0,1.7560024368344145,0.0,73,396,0.708584163839987,6000,100
2D,8,A_trust_zt,16.0,0.22901024698222258,0.74,0,792,0.6928531980099797,6000,100
2D,8,B_notrust_zn,2.0,0.5888295567524534,0.3,2,792,0.8195648023799004,6000,100
2D,8,C_notrust_zt,16.0,1.7469652554247952,0.0,72,792,0.7452017069299472,6000,100
2D,16,A_trust_zt,16.0,0.17602091545015544,0.85,0,1584,0.7617930140199314,6000,100
2D,16,B_notrust_zn,2.0,0.40436899229370477,0.46,1,1584,0.685458763660863,6000,100
2D,16,C_notrust_zt,16.0,1.6475590754278209,0.0,61,1584,0.6847587470104918,6000,100
2D,32,A_trust_zt,16.0,0.22008139826156853,0.75,0,3168,0.8247439949214459,6000,100
2D,32,B_notrust_zn,2.0,0.306882124860381,0.53,0,3168,0.8135415182821453,6000,100
2D,32,C_notrust_zt,16.0,1.737928543266841,0.0,71,3168,0.7606928457599134,6000,100
5D,4,A_trust_zt,8.0,0.5407713845701106,0.0,0,396,0.5939268206013366,6000,100
5D,4,B_notrust_zn,0.25,0.5366471339281251,0.0,0,396,0.568502353860531,6000,100
5D,4,C_notrust_zt,8.0,2.0,0.0,100,396,0.6726532381703145,6000,100
5D,8,A_trust_zt,8.0,0.5420313090494918,0.0,0,792,0.7228887003404089,6000,100
5D,8,B_notrust_zn,0.25,0.5640568208199445,0.0,0,792,0.7145564208901487,6000,100
5D,8,C_notrust_zt,8.0,2.0,0.0,100,792,0.8194835404196056,6000,100
5D,16,A_trust_zt,8.0,0.5120849507905233,0.0,0,1584,0.6566793078300543,6000,100
5D,16,B_notrust_zn,0.25,0.5768085554472956,0.0,0,1584,0.6781797657697461,6000,100
5D,16,C_notrust_zt,8.0,1.9842364688040408,0.0,99,1584,0.7111414780805353,6000,100
5D,32,A_trust_zt,8.0,0.5367519024453635,0.0,0,3168,0.7977123925404157,6000,100
5D,32,B_notrust_zn,0.25,0.5656025523334399,0.0,0,3168,0.8432387912494597,6000,100
5D,32,C_notrust_zt,8.0,1.9860490195199048,0.0,99,3168,0.8723401582799852,6000,100
10D,4,A_trust_zt,4.0,0.5934890009718461,0.0,0,396,0.6997677226597443,6000,100
10D,4,B_notrust_zn,1.0,0.7217749249864772,0.0,5,396,0.6576084778201766,6000,100
10D,4,C_notrust_zt,4.0,1.6223159327056884,0.0,71,396,0.7407553646096494,6000,100
10D,8,A_trust_zt,4.0,0.5836238491145218,0.0,0,792,0.7459985661099199,6000,100
10D,8,B_notrust_zn,1.0,0.6993732140588044,0.0,5,792,0.6364133549691178,6000,100
10D,8,C_notrust_zt,4.0,1.5673961323670442,0.0,66,792,1.1958274063491263,6000,100
10D,16,A_trust_zt,4.0,0.5649613947690917,0.0,0,1584,0.6798665158869699,6000,100
10D,16,B_notrust_zn,1.0,0.6574527962767982,0.0,3,1584,0.6763257184019312,6000,100
10D,16,C_notrust_zt,4.0,1.4650478655343862,0.0,59,1584,0.627939266419271,6000,100
10D,32,A_trust_zt,4.0,0.5727450451370898,0.0,0,3168,0.803054060509894,6000,100
10D,32,B_notrust_zn,1.0,0.6312023347237887,0.0,4,3168,0.8132169267900463,6000,100
10D,32,C_notrust_zt,4.0,1.4458737090258114,0.0,57,3168,0.7279483674799849,6000,100
