setting,n,candidate,score,success,diverged,cm_samples,seconds_per_run
2D,4,baseline,0.5848107256331776,0.275,0,396,0.5710160188027658
2D,4,trust_noise1,0.17784346591299885,0.7,0,396,0.5726489730994218
2D,4,replay30,0.5296220700548091,0.25,0,297,1.170514513005037
2D,4,replay_geo0.3d3,0.5296220700548091,0.25,0,297,0.636448330373969
2D,4,replay_geo0.5d3,0.5424883051751267,0.35,1,198,0.7248705286998302
2D,4,replay_geo0.7d5,0.40120131727155295,0.45,0,99,0.6416088658035732
2D,4,replay30_aug,0.48465215810713663,0.3,0,396,0.757545049174223
2D,4,replay_geo0.5d3_aug,0.3292889036318243,0.4,0,396,0.7238317535840906
2D,4,replay_w30,0.45176896337674516,0.375,1,297,0.7514389493502677
2D,4,replay_wgeo0.5d3,0.45723346959332833,0.3,0,198,0.6080431147944182
2D,4,replay30_trust,0.19882889191053718,0.675,0,297,0.6256694878800773
2D,4,replay_geo0.5d3_trust,0.2523485923900606,0.6,0,198,0.6939227713970467
2D,4,replay30_aug_trust,0.14873610441027574,0.8,0,396,0.651041212817654
2D,4,replay_geo0.7d5_trust,0.23990304239149873,0.725,0,99,0.5554232150549069
2D,8,baseline,0.3807159632063447,0.45,0,792,1.5033203961676918
2D,8,trust_noise1,0.18061010843389097,0.8,0,792,0.6981143038996379
2D,8,replay30,0.39127227537813275,0.425,0,594,0.7019689637250849
2D,8,replay_geo0.3d3,0.39127227537813275,0.425,0,594,0.6069639952751459
2D,8,replay_geo0.5d3,0.3555600467080556,0.475,0,396,0.6982840765253059
2D,8,replay_geo0.7d5,0.3684098735334177,0.35,0,297,0.7132509474497055
2D,8,replay30_aug,0.2593818687784299,0.475,0,792,0.7218997535499512
2D,8,replay_geo0.5d3_aug,0.2747507571743316,0.6,0,792,0.7133276348758955
2D,8,replay_w30,0.2902940738930379,0.525,0,594,0.649031828524312
2D,8,replay_wgeo0.5d3,0.3143556134326362,0.475,0,396,0.7604445017248509
2D,8,replay30_trust,0.22229884033333044,0.6,0,594,0.7440069847507402
2D,8,replay_geo0.5d3_trust,0.20149160719788334,0.675,0,396,0.7661158079761663
2D,8,replay30_aug_trust,0.1929741433956857,0.675,0,792,0.7206867740504095
2D,8,replay_geo0.7d5_trust,0.20716722501032572,0.675,0,297,0.6798158771998715
2D,32,baseline,0.25184540865647753,0.5,0,3168,0.9270264562001103
2D,32,trust_noise1,0.2311460132813809,0.525,0,3168,0.9191600039004697
2D,32,replay30,0.2551117617200724,0.55,0,2178,0.7395906550751533
2D,32,replay_geo0.3d3,0.24557540944475123,0.45,0,2178,0.6976363226000103
2D,32,replay_geo0.5d3,0.2458511348336508,0.65,0,1683,0.7900777903996641
2D,32,replay_geo0.7d5,0.21048123696632354,0.7,0,1089,0.7930664967745542
2D,32,replay30_aug,0.23894646671101438,0.625,0,3168,0.9094955824999488
2D,32,replay_geo0.5d3_aug,0.2348392257850404,0.725,0,3168,0.9416856326002744
2D,32,replay_w30,0.26150951152288804,0.475,0,2178,0.6876573570014444
2D,32,replay_wgeo0.5d3,0.22971437488898486,0.65,0,1683,0.8503863327554427
2D,32,replay30_trust,0.24211746785597826,0.625,0,2178,0.7095987885259092
2D,32,replay_geo0.5d3_trust,0.21022461337234324,0.725,0,1683,0.7134636862203478
2D,32,replay30_aug_trust,0.23026968888325766,0.65,0,3168,0.9358864941517823
2D,32,replay_geo0.7d5_trust,0.1938893168463356,0.8,0,1089,0.756270383449737
5D,4,baseline,0.5729171896269214,0.0,0,396,0.6142784608528018
5D,4,trust_noise1,0.5452142109744368,0.0,0,396,0.6843576746527106
5D,4,replay30,0.6292054358364032,0.0,0,297,0.6599721422768198
5D,4,replay_geo0.3d3,0.6292054358364032,0.0,0,297,0.6350012209266425
5D,4,replay_geo0.5d3,0.6588586673282283,0.0,0,198,0.6789910799940116
5D,4,replay_geo0.7d5,0.6364842655203813,0.0,1,99,0.5690332132973708
5D,4,replay30_aug,0.5403033398358306,0.0,0,396,0.6341506579308771
5D,4,replay_geo0.5d3_aug,0.5708477630251886,0.0,0,396,0.6843591804965399
5D,4,replay_w30,0.648482251322806,0.0,1,297,0.6516619109432213
5D,4,replay_wgeo0.5d3,0.6268818759965842,0.0,0,198,0.6002093156566843
5D,4,replay30_trust,0.570793280357522,0.0,0,297,1.2361416118685156
5D,4,replay_geo0.5d3_trust,0.609268185736901,0.0,0,198,0.690690525174432
5D,4,replay30_aug_trust,0.5335767428328982,0.0,0,396,0.7065610107238172
5D,4,replay_geo0.7d5_trust,0.5415052532356623,0.0,0,99,0.6488896049995674
5D,8,baseline,0.49764202834101096,0.0,0,792,0.6784833605255699
5D,8,trust_noise1,0.46395385769718517,0.0,0,792,0.694593436724972
5D,8,replay30,0.5320739916716346,0.0,0,594,0.7065096853999421
5D,8,replay_geo0.3d3,0.5320739916716346,0.0,0,594,0.5941617105505429
5D,8,replay_geo0.5d3,0.5661485459456495,0.0,0,396,0.6378327657759655
5D,8,replay_geo0.7d5,0.5335192680579858,0.0,0,297,0.7508857957742293
5D,8,replay30_aug,0.510878225290388,0.0,0,792,0.7295648435494513
5D,8,replay_geo0.5d3_aug,0.5729605528869162,0.0,0,792,0.7668400517752161
5D,8,replay_w30,0.5590348958980843,0.0,0,594,0.7199310399999377
5D,8,replay_wgeo0.5d3,0.533944862382908,0.0,0,396,0.6730540825999924
5D,8,replay30_trust,0.5128569293519971,0.0,0,594,0.8449386702748598
5D,8,replay_geo0.5d3_trust,0.5271395734212815,0.0,0,396,0.744767177850008
5D,8,replay30_aug_trust,0.4845409249328113,0.0,0,792,0.643118849475286
5D,8,replay_geo0.7d5_trust,0.5464934209280452,0.0,0,297,0.6641280967000057
5D,32,baseline,0.4373601970498493,0.0,0,3168,0.7869878908255487
5D,32,trust_noise1,0.4316193905173934,0.0,0,3168,0.8324440394251724
5D,32,replay30,0.4552341771271536,0.0,0,2178,0.7839876067751902
5D,32,replay_geo0.3d3,0.4630679168041059,0.0,0,2178,0.7281846172001678
5D,32,replay_geo0.5d3,0.4807467252934547,0.0,0,1683,0.7301876429992262
5D,32,replay_geo0.7d5,0.5287780629824329,0.0,0,1089,0.733460016999743
5D,32,replay30_aug,0.4392971946497317,0.0,0,3168,0.8608490412007086
5D,32,replay_geo0.5d3_aug,0.43938401819769013,0.0,0,3168,0.856803834551829
5D,32,replay_w30,0.45227828806727877,0.0,0,2178,0.7802119476022199
5D,32,replay_wgeo0.5d3,0.5131842037100562,0.0,0,1683,0.8479978757270146
