commit,candidate,task,target,seed,config,hardware,dtype,wall_s,wall_all,wall_per_restart_s,restarts_per_s,peak_mem_mb,score_calls,cond_calls,cond_samples,end2end_max_abs,step_grad_max_abs,status
6af2081,sys:reference(_guided.run),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.2034,0.2067|0.2124|0.2034|0.1998|0.2028,0.2034,4.917,322.0,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:generator_seed,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.2422,0.2207|0.2249|0.2422|0.2430|0.2486,0.2422,4.129,333.3,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:frozen_params,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.2608,0.2653|0.2717|0.2589|0.2570|0.2608,0.2608,3.834,333.4,99,99,792,0.000e+00,0.000e+00,ok
6af2081,sys:batched_mmd(+batched_lgd),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float32,0.1349,0.1349|0.1319|0.1346|0.1484|0.1434,0.1349,7.412,333.6,99,99,792,1.335e-05,1.311e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1618,0.1863|0.1705|0.1543|0.1618|0.1484,0.1618,6.179,334.5,99,99,792,1.335e-05,1.311e-06,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1,spatial=no_lgd;temporal=none;n=8;B=2;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1784,0.2034|0.1809|0.1719|0.1784|0.1748,0.0892,11.212,335.3,198,198,1584,3.809e-02,1.587e-04,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=4;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.1916,0.1916|0.1938|0.1900|0.1954|0.1852,0.0479,20.881,337.3,396,396,3168,3.043e+00,2.151e-04,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=8;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.2170,0.2170|0.2151|0.2138|0.2236|0.2279,0.0271,36.858,338.8,792,792,6336,3.043e+00,2.151e-04,ok
6af2081,sys:batched_restarts+lean_ddim,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=8;batched_lgd=1;batched_mmd=1;lean_ddim=1,arm64-cpu-4thr,float32,0.2135,0.2154|0.2107|0.2073|0.2135|0.2216,0.0267,37.477,338.8,792,792,6336,3.043e+00,,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=16;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.2827,0.2831|0.2756|0.2827|0.2885|0.2826,0.0177,56.605,338.8,1584,1584,12672,3.043e+00,2.151e-04,ok
6af2081,sys:batched_restarts,synthetic_2D,S_G250_seed987654,0;1;2;3,spatial=no_lgd;temporal=none;n=8;B=32;batched_lgd=1;batched_mmd=1,arm64-cpu-4thr,float32,0.4528,0.4528|0.4406|0.4304|0.4896|0.4718,0.0141,70.674,338.8,3168,3168,25344,5.183e-01,2.217e-04,ok
6af2081,sys:float64_throughout,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;B=1;,arm64-cpu-4thr,float64,0.4249,0.4249|0.3848|0.4164|0.4425|0.4395,0.4249,2.354,355.8,99,99,792,3.807e-02,,changes_numerics(float64)
6af2081,sys:reference(_guided.run),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;B=1;,arm64-cpu-4thr,float32,0.2958,0.3233|0.3195|0.2944|0.2938|0.2958,0.2958,3.380,355.9,99,99,3168,0.000e+00,0.000e+00,ok
6af2081,sys:generator_seed,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;B=1;,arm64-cpu-4thr,float32,0.2966,0.3404|0.2964|0.3144|0.2966|0.2903,0.2966,3.371,361.9,99,99,3168,0.000e+00,0.000e+00,ok
6af2081,sys:frozen_params,synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;B=1;,arm64-cpu-4thr,float32,0.2867,0.3082|0.3200|0.2867|0.2806|0.2859,0.2867,3.488,361.9,99,99,3168,0.000e+00,0.000e+00,ok
6af2081,sys:batched_mmd(+batched_lgd),synthetic_2D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;B=1;,arm64-cpu-4thr,float32,0.1549,0.1562|0.1453|0.1538|0.1549|0.1550,0.1549,6.454,361.9,99,99,3168,3.648e-03,5.960e-07,ok
