setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
2D,4,no_lgd,none,clip0.5,100,1000,0.5970926793729732,0.23917909520158048,0.35791358417139274,0.2798810649133327,0.4389755525006994,82,4.999750012499375e-05,0.28,0.61,2,0,396,True,0.3945233035087585,0.31283098697662354,0.47791296005249023,4.999750012499375e-05,0.3638594163751432,0.5808233716990798
2D,4,no_lgd,none,relclip1,100,1000,0.5970926793729732,0.25997766270048706,0.33711501667248617,0.23713221515482338,0.43604371868791575,77,4.999750012499375e-05,0.28,0.69,2,0,396,True,0.32659116506576535,0.23619019746780395,0.4167066669464111,4.999750012499375e-05,0.37037664391223646,0.5805639985017479
2D,4,no_lgd,none,relclip2,100,1000,0.5970926793729732,0.1532073101134048,0.4438853692595684,0.3609155308111198,0.5290388416557491,87,4.999750012499375e-05,0.28,0.84,2,0,396,True,0.404952712059021,0.31961716175079347,0.4918304300308228,4.999750012499375e-05,0.4135639898599412,0.547848519552499
2D,4,no_lgd,none,relclip_ema2,100,1000,0.5970926793729732,0.1712071944503437,0.4258854849226295,0.3477962524210285,0.5062518486287704,84,4.999750012499375e-05,0.28,0.76,2,0,396,True,0.39761298179626464,0.3096555042266846,0.48524765968322753,4.999750012499375e-05,0.3561477250338032,0.572021274920553
2D,4,no_lgd,none,sqrt_floor,100,1000,0.5970926793729732,0.3650536031194469,0.23203907625352632,0.13752036378187513,0.32648806664494046,68,4.999750012499375e-05,0.28,0.51,2,0,396,True,0.2138854432106018,0.10773597002029418,0.3194939637184143,0.00024998750062496874,0.26750195261152987,0.5793035930069164
2D,4,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.5970926793729732,0.23721166541712177,0.3598810139558514,0.2768067920209123,0.4432132961810495,82,4.999750012499375e-05,0.28,0.66,2,0,396,True,0.39307393074035646,0.30639177322387695,0.48000953197479246,4.999750012499375e-05,0.3291331557488147,0.5872409584512934
2D,4,no_lgd,none,trust_noise1,100,1000,0.5970926793729732,0.19638050169118765,0.4007121776817856,0.31780536534144277,0.48695339220957584,79,4.999750012499375e-05,0.28,0.76,2,0,396,True,0.3777525639533997,0.2953126049041748,0.4622302222251892,4.999750012499375e-05,0.4069672597201788,0.5847517598094418
2D,8,no_lgd,none,clip0.5,100,1000,0.41760997660823085,0.22472143879427953,0.19288853781395135,0.12906151399997057,0.2595503828996535,65,4.999750012499375e-05,0.4,0.58,0,0,792,True,0.20598258972167968,0.13393599033355713,0.28220062255859374,4.999750012499375e-05,0.193299448498517,0.6281481069000437
2D,8,no_lgd,none,relclip1,100,1000,0.41760997660823085,0.16730343889347743,0.2503065377147534,0.1704021991060479,0.331396945042956,80,4.999750012499375e-05,0.4,0.84,0,0,792,True,0.17099907636642456,0.09418758153915405,0.25224889993667604,4.999750012499375e-05,0.2669506058931887,0.6319166404288262
2D,8,no_lgd,none,relclip2,100,1000,0.41760997660823085,0.13907386206794697,0.2785361145402839,0.21052282651614163,0.34878398703790814,80,4.999750012499375e-05,0.4,0.85,0,0,792,True,0.2155474042892456,0.14342434644699098,0.2909942841529846,4.999750012499375e-05,0.2370210692236267,0.6349504182813689
